Date,Open,High,Low,Close,Adjusted_close,Volume
2000-01-03,104.8768,112.504,101.6848,111.9328,0.8472,535796800
2000-01-04,108.248,110.6224,101.192,102.5024,0.7758,512377600
2000-01-05,103.7456,110.5664,102.9952,104.0032,0.7872,778321600
2000-01-06,106.12,107.0048,94.9984,94.9984,0.719,767972800
2000-01-07,96.4992,101.0016,95.5024,99.5008,0.7531,460734400
2000-01-10,101.9984,102.2448,94.752,97.7536,0.7399,505064000
2000-01-11,95.9392,99.3776,90.496,92.7472,0.702,441548800
2000-01-12,94.9984,95.5024,86.4976,87.192,0.6599,976068800
2000-01-13,94.4832,98.7504,92.5008,96.7456,0.7322,1032684800
2000-01-14,100.0048,102.2448,99.3776,100.4416,0.7602,390376000
2000-01-18,101.0016,105.9968,100.4416,103.936,0.7867,459177600
2000-01-19,105.6272,108.752,103.376,106.568,0.8066,597643200
2000-01-20,115.5056,121.4976,113.5008,113.5008,0.8591,1831132800
2000-01-21,114.2512,114.2512,110.1856,111.3168,0.8425,495924800
2000-01-24,108.4384,112.7504,105.1232,106.2544,0.8042,440876800
2000-01-25,105,113.12,102.3792,112.2464,0.8496,497145600
2000-01-26,109.9952,114.184,109.7488,110.1856,0.834,367158400
2000-01-27,108.808,112.9968,107.0048,109.9952,0.8325,340144000
2000-01-28,108.192,110.88,100.6208,101.6288,0.7692,423348800
2000-01-31,101.0016,103.88,94.5056,103.7456,0.7852,701680000
2000-02-01,104.0032,105,100.0048,100.2512,0.7588,318035200
2000-02-02,100.7552,102.1216,97.0032,98.8176,0.7479,464195200
2000-02-03,100.3072,104.2496,100.2512,103.3088,0.7819,475193600
2000-02-04,103.936,109.9952,103.6224,108.0016,0.8174,425320000
2000-02-07,108.0016,114.2512,105.9408,114.0608,0.8633,441067200
2000-02-08,114.0048,116.1216,111.2496,114.8784,0.8695,408643200
2000-02-09,114.128,117.1296,112.4368,112.6272,0.8524,299364800
2000-02-10,112.8736,113.8704,109.9952,113.5008,0.8591,302982400
2000-02-11,113.624,114.128,108.248,108.752,0.8231,212251200
2000-02-14,109.312,115.8752,108.6288,115.808,0.8765,367539200
2000-02-15,115.248,119.9408,115.192,119,0.9007,485744000
2000-02-16,117.7456,118.1264,112.1232,114.128,0.8638,378246400
