Local time,Open,High,Low,Close,Volume
22.01.2024 08:30:00.000 GMT-0600,192.257,192.337,192.257,192.337,0.096
22.01.2024 08:30:01.000 GMT-0600,192.346,192.477,192.346,192.456,0.12
22.01.2024 08:30:02.000 GMT-0600,192.436,192.436,192.346,192.346,0.144
22.01.2024 08:30:03.000 GMT-0600,192.336,192.367,192.257,192.267,0.108
22.01.2024 08:30:04.000 GMT-0600,192.317,192.386,192.317,192.386,0.12
22.01.2024 08:30:05.000 GMT-0600,192.437,192.437,192.346,192.347,0.156
22.01.2024 08:30:06.000 GMT-0600,192.427,192.427,192.366,192.366,0.108
22.01.2024 08:30:07.000 GMT-0600,192.416,192.447,192.367,192.447,0.144
22.01.2024 08:30:08.000 GMT-0600,192.396,192.397,192.396,192.396,0.108
22.01.2024 08:30:09.000 GMT-0600,192.367,192.436,192.346,192.436,0.13199999999999998
22.01.2024 08:30:10.000 GMT-0600,192.437,192.517,192.427,192.476,0.144
22.01.2024 08:30:11.000 GMT-0600,192.477,192.477,192.427,192.436,0.108
22.01.2024 08:30:12.000 GMT-0600,192.377,192.427,192.377,192.427,0.06
22.01.2024 08:30:13.000 GMT-0600,192.427,192.427,192.406,192.407,0.06
22.01.2024 08:30:14.000 GMT-0600,192.407,192.407,192.346,192.347,0.096
22.01.2024 08:30:15.000 GMT-0600,192.347,192.397,192.346,192.366,0.108
22.01.2024 08:30:16.000 GMT-0600,192.366,192.377,192.366,192.376,0.072
22.01.2024 08:30:17.000 GMT-0600,192.376,192.387,192.366,192.377,0.096
22.01.2024 08:30:18.000 GMT-0600,192.366,192.396,192.366,192.366,0.156
22.01.2024 08:30:19.000 GMT-0600,192.367,192.376,192.317,192.376,0.12
22.01.2024 08:30:20.000 GMT-0600,192.376,192.447,192.376,192.446,0.13199999999999998
22.01.2024 08:30:21.000 GMT-0600,192.467,192.506,192.466,192.506,0.108
22.01.2024 08:30:22.000 GMT-0600,192.497,192.497,192.466,192.487,0.096
22.01.2024 08:30:23.000 GMT-0600,192.477,192.487,192.446,192.446,0.096
22.01.2024 08:30:24.000 GMT-0600,192.437,192.456,192.417,192.436,0.12
22.01.2024 08:30:25.000 GMT-0600,192.406,192.426,192.406,192.417,0.096
22.01.2024 08:30:26.000 GMT-0600,192.396,192.396,192.366,192.367,0.108
22.01.2024 08:30:27.000 GMT-0600,192.366,192.376,192.366,192.367,0.096
22.01.2024 08:30:28.000 GMT-0600,192.366,192.367,192.366,192.367,0.036
22.01.2024 08:30:29.000 GMT-0600,192.336,192.347,192.336,192.346,0.072
22.01.2024 08:30:30.000 GMT-0600,192.346,192.367,192.337,192.337,0.06
22.01.2024 08:30:31.000 GMT-0600,192.317,192.317,192.287,192.317,0.108
22.01.2024 08:30:32.000 GMT-0600,192.337,192.357,192.336,192.346,0.096
22.01.2024 08:30:33.000 GMT-0600,192.336,192.337,192.316,192.317,0.08399999999999999
22.01.2024 08:30:34.000 GMT-0600,192.307,192.316,192.286,192.316,0.096
22.01.2024 08:30:35.000 GMT-0600,192.307,192.316,192.306,192.306,0.06
22.01.2024 08:30:36.000 GMT-0600,192.307,192.327,192.306,192.317,0.108
22.01.2024 08:30:37.000 GMT-0600,192.307,192.387,192.296,192.387,0.144
22.01.2024 08:30:38.000 GMT-0600,192.386,192.386,192.366,192.376,0.08399999999999999
22.01.2024 08:30:39.000 GMT-0600,192.386,192.447,192.386,192.447,0.156
22.01.2024 08:30:40.000 GMT-0600,192.467,192.467,192.416,192.436,0.12
22.01.2024 08:30:41.000 GMT-0600,192.446,192.477,192.446,192.447,0.08399999999999999
22.01.2024 08:30:42.000 GMT-0600,192.437,192.457,192.426,192.456,0.096
22.01.2024 08:30:43.000 GMT-0600,192.447,192.447,192.417,192.417,0.06
22.01.2024 08:30:44.000 GMT-0600,192.416,192.417,192.416,192.416,0.036
22.01.2024 08:30:45.000 GMT-0600,192.387,192.407,192.387,192.397,0.048
22.01.2024 08:30:46.000 GMT-0600,192.407,192.407,192.397,192.397,0.024
22.01.2024 08:30:47.000 GMT-0600,192.416,192.417,192.407,192.417,0.048
22.01.2024 08:30:48.000 GMT-0600,192.427,192.437,192.427,192.437,0.024
22.01.2024 08:30:49.000 GMT-0600,192.427,192.437,192.426,192.426,0.048
22.01.2024 08:30:50.000 GMT-0600,192.436,192.436,192.417,192.436,0.08399999999999999
22.01.2024 08:30:51.000 GMT-0600,192.427,192.427,192.406,192.417,0.08399999999999999
22.01.2024 08:30:52.000 GMT-0600,192.407,192.417,192.397,192.406,0.072
